ts_code,symbol,name,area,industry,list_date
000001.SZ,000001,平安银行,深圳,银行,19910403
000002.SZ,000002,万科A,深圳,全国地产,19910129
000004.SZ,000004,国农科技,深圳,生物制药,19910114
000005.SZ,000005,世纪星源,深圳,环境保护,19901210
002556.SZ,002556,辉隆股份,安徽,其他商业,20110302
002557.SZ,002557,洽洽食品,安徽,食品,20110302
002558.SZ,002558,巨人网络,重庆,互联网,20110302
002949.SZ,002949,华阳国际,深圳,建筑施工,20190226
300541.SZ,300541,先进数通,北京,软件服务,20160913
600775.SH,600775,南京熊猫,江苏,通信设备,19961118
600776.SH,600776,东方通信,浙江,通信设备,19961126
603998.SH,603998,方盛制药,湖南,中成药,20141205
603999.SH,603999,读者传媒,甘肃,出版业,20151210
300785.SZ,300785,值得买,北京,互联网,20190715
